SYMBOL,DATE_TIME,OPEN,HIGH,LOW,LAST,NUM_TRADES,BID,ASK,QUOTE_DATE,QUOTIM,QUOTEID
USD/JPY,"2018-11-21 19:10:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:10:00,6747203
USD/JPY,"2018-11-21 19:11:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:11:00,6747209
USD/JPY,"2018-11-21 19:12:05",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:12:05,6747215
USD/JPY,"2018-11-21 19:13:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:13:00,6747221
USD/JPY,"2018-11-21 19:14:06",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:14:06,6747227
USD/JPY,"2018-11-21 19:15:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:15:00,6747233
USD/JPY,"2018-11-21 19:17:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:17:00,6747239
USD/JPY,"2018-11-21 19:18:06",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:18:06,6747245
USD/JPY,"2018-11-21 19:19:04",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:19:04,6747251
USD/JPY,"2018-11-21 19:20:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:20:00,6747257
USD/JPY,"2018-11-21 19:21:06",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:21:06,6747263
USD/JPY,"2018-11-21 19:22:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:22:00,6747269
USD/JPY,"2018-11-21 19:23:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:23:00,6747275
USD/JPY,"2018-11-21 19:24:05",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:24:05,6747281
USD/JPY,"2018-11-21 19:25:35",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:25:35,6747287
USD/JPY,"2018-11-21 19:26:06",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:26:06,6747293
USD/JPY,"2018-11-21 19:27:06",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:27:06,6747299
USD/JPY,"2018-11-21 19:28:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:28:00,6747305
USD/JPY,"2018-11-21 19:29:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:29:00,6747311
USD/JPY,"2018-11-21 19:30:29",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:30:29,6747318
USD/JPY,"2018-11-21 19:31:04",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:31:04,6747325
USD/JPY,"2018-11-21 19:32:05",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:32:05,6747331
USD/JPY,"2018-11-21 19:33:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:33:00,6747337
USD/JPY,"2018-11-21 19:34:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:34:00,6747343
USD/JPY,"2018-11-21 19:35:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,19:35:00,6747349
